s-image src,LINK,DESCRIPTION,RATING,REVIEW,OFFER PRICE,ACTUAL PRIC,DISCOUNT
https://m.media-amazon.com/images/I/713PyK91XHL._AC_UY218_.jpg,https://www.amazon.in/Lino-Perros-Womens-Tote-Pink/dp/B07JN9G66H/ref=sr_1_57?,Lino Perros leatherette Tote Bag,4.3 out of 5 stars,"2,533","? 1,089.00","RS 4,495",(76% off)
https://m.media-amazon.com/images/I/61bXaYXvHVL._AC_UY218_.jpg,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_58?,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",3.8 out of 5 stars,628,? 599.00,"RS 2,010",(70% off)
https://m.media-amazon.com/images/I/91E-TO7gNeL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,3.4 out of 5 stars,3,? 599.00,RS 999,(40% off)
https://m.media-amazon.com/images/I/71SC7fKhOyL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Sea Green),4.3 out of 5 stars,"7,643","? 1,499.00","RS 3,200",(53% off)
https://m.media-amazon.com/images/I/91gEoyx2yRL._AC_UY218_.jpg,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_61?,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",4.0 out of 5 stars,348,? 512.00,"RS 1,799",(72% off)
https://m.media-amazon.com/images/I/91V8w0XeeCL._AC_UY218_.jpg,https://www.amazon.in/Red-Lemon-Backpack-Multifunctional-Charcoal/dp/B0BGSV19KZ/ref=sr_1_62?,Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,4.4 out of 5 stars,425,"? 1,899.00","RS 3,999",(53% off)
https://m.media-amazon.com/images/I/41B1TGLULdL._AC_UY218_.jpg,https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BK922Y5N/ref=sr_1_63?,"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags(Pink)",4.3 out of 5 stars,107,? 799.00,"RS 1,299",(38% off)
https://m.media-amazon.com/images/I/81SBgVHpw1L._AC_UY218_.jpg,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_64,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,4.0 out of 5 stars,"4,940",? 843.00,"RS 1,899",(56% off)
https://m.media-amazon.com/images/I/71uHhX8iPaL._AC_UY218_.jpg,https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_65,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,4.0 out of 5 stars,"2,371",? 549.00,,
https://m.media-amazon.com/images/I/81kl6o8ORML._AC_UY218_.jpg,https://www.amazon.in/Amazon-Brand-Womens-Sling-Mustard/dp/B07XBZR7SR/ref=sr_1_66,Amazon Brand - Eden & Ivy Women's Sling Bag,4.1 out of 5 stars,559,? 599.00,"RS 1,599",(63% off)
https://m.media-amazon.com/images/I/81qyZqCUjbL._AC_UY218_.jpg,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_67,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",4.4 out of 5 stars,810,? 664.00,RS 999,(34% off)
https://m.media-amazon.com/images/I/913d6PxV1YL._AC_UY218_.jpg,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3KCN32/ref=sr_1_68,"Tabelito® Casual Laptop Bag 15.6-inch(39.6cm), 25 LTR Water Repellent Backpack Office College School Business Travel Bags for Men Women Boys & Girls (Blue)",4.2 out of 5 stars,"1,499",? 549.00,"RS 1,799",(69% off)
https://m.media-amazon.com/images/I/7185c+iBFPL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4&,zoraiz Lightweight Laptop Backpack/College Backpack,3.4 out of 5 stars,9,? 499.00,"RS 1,099",(55% off)
https://m.media-amazon.com/images/I/71VJH6vFAcL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4&,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,4.2 out of 5 stars,"1,748",? 889.00,"RS 3,000",(70% off)
https://m.media-amazon.com/images/I/81fySVDRgZL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=5&,KobSook New Generation Stylish Digitally Printed Art Canvas Laptop BackPack with Multipurpose Pouch,,Only 4 left in stock.,? 856.00,"RS 1,799",(52% off)
https://m.media-amazon.com/images/I/71BnJuUy6+L._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=5&,Justify 55L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,,,"? 1,799.00","RS 4,999",(64% off)
https://m.media-amazon.com/images/I/51um98Au5QL._AC_UY218_.jpg,https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP/ref=sr_1_67?,Baggit Women Hobo Handbag (ROSE),4.2 out of 5 stars,177,? 595.00,"RS 1,190",(50% off)
https://m.media-amazon.com/images/I/514YLZGCX0L._AC_UY218_.jpg,https://www.amazon.in/Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C/ref=sr_1_68?,Wesley Xenon Laptop Bag,4.0 out of 5 stars,"1,064",? 498.00,RS 999,(50% off)
https://m.media-amazon.com/images/I/71xeudlt5EL._AC_UY218_.jpg,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_69?,Auxter Faux Leather 23 Cms Duffle Bag(Aux_Gb_Le_Black -Se__0521_Black),4.3 out of 5 stars,"8,801",? 376.00,RS 999,(62% off)
https://m.media-amazon.com/images/I/61LB4CRJ9nL._AC_UY218_.jpg,https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_70?,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,5.0 out of 5 stars,2,? 510.00,"RS 1,999",(74% off)
https://m.media-amazon.com/images/I/51xIRah+tfL._AC_UY218_.jpg,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_71,F Gear String 11 Ltrs Nylon Black Gym Bag,4.0 out of 5 stars,415,? 189.00,RS 720,(74% off)
https://m.media-amazon.com/images/I/51x8U8+eZIL._AC_UY218_.jpg,https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_72?,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),4.4 out of 5 stars,"1,885","? 1,445.00","RS 1,699",(15% off)
https://m.media-amazon.com/images/I/81t6dfVw0TL._AC_UY218_.jpg,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_73?,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",4.4 out of 5 stars,373,"? 1,599.00","RS 3,699",(57% off)
https://m.media-amazon.com/images/I/71GxZAYa6UL._AC_UY218_.jpg,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_74?,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",4.2 out of 5 stars,"7,579",? 839.00,"RS 2,500",(66% off)
https://m.media-amazon.com/images/I/61yMAsvoVSL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=5&,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,3.8 out of 5 stars,134,? 661.00,"RS 1,799",(63% off)
https://m.media-amazon.com/images/I/91eqE9vGztL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=5&,Red Lemon 38 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover USB Anti Theft Travel Backpack -Black,3.9 out of 5 stars,84,"? 1,349.00","RS 2,999",(55% off)
https://m.media-amazon.com/images/I/71H5Vm5t2AL._AC_UY218_.jpg,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_77,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",4.1 out of 5 stars,270,? 247.00,RS 259,(5% off)
https://m.media-amazon.com/images/I/71TXLsWjccL._AC_UY218_.jpg,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_78?,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,4.1 out of 5 stars,"4,860",? 512.00,"RS 1,499",(66% off)
https://m.media-amazon.com/images/I/71fZ4nCbKvL._AC_UY218_.jpg,https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R/ref=sr_1_79?,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,4.1 out of 5 stars,"8,913",? 498.00,"RS 2,399",(79% off)
https://m.media-amazon.com/images/I/61fBoZgmkCL._AC_UY218_.jpg,https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_80?,Artistix 25 ltrs (30 cms)backpack(Talon_40cm_black),4.3 out of 5 stars,"2,764",? 999.00,"RS 1,999",(50% off)
https://m.media-amazon.com/images/I/71EwDWMoMmL._AC_UY218_.jpg,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_81?,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",4.1 out of 5 stars,"7,630",? 254.00,RS 499,(49% off)
https://m.media-amazon.com/images/I/91MG9PbBP4L._AC_UY218_.jpg,https://www.amazon.in/Priority-Spider-ltrs-School-Backpack/dp/B0849MZF6Q/ref=sr_1_82?,"Priority Disney Marvel Spiderman 25 litres Grey School Bag | Casual Backpack for Boys & Girls, Kid's Backpack",3.6 out of 5 stars,"6,184",? 349.00,RS 699,(50% off)
https://m.media-amazon.com/images/I/51BFQAZcdSL._AC_UY218_.jpg,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_83?,NIVIA Basic Duffle Polyester Bag/ Gym Bags/ Adjustable Shoulder Bag for Men/ Duffle Gym Bags for Men/ Fitness Bag/ Carry Bags/ Sports & Travel Bag/ Sports Kit/ Duffle Bags Travel (Black/Grey),3.9 out of 5 stars,329,? 245.00,RS 370,(34% off)
https://m.media-amazon.com/images/I/81lmVwX3PiL._AC_UY218_.jpg,https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_84?,"Motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue,Pack of 1)",4.5 out of 5 stars,"2,470","? 1,516.00","RS 4,849",(69% off)
https://m.media-amazon.com/images/I/71oT+IKemJL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=5&,Cosmus ACE Casual Grey 45 cm 22 Ltr Laptop Backpack Bag,3.9 out of 5 stars,120,? 718.00,"RS 1,615",(56% off)
